"","Var1","Freq"
"1","Alimentation générale",24
"2","Animalerie",1
"3","Audioprothésiste",1
"4","Auto-école",7
"5","Automobile",7
"6","Banque",9
"7","Bar",8
"8","Bar / Tabac",4
"9","Bijouterie / Horlogerie",1
"10","Boucherie",10
"11","Boucherie ",1
"12","Boulangerie",24
"13","Bricolage",2
"14","Buraliste",1
"15","Carte grise",1
"16","Coiffure",28
"17","Commerces ambulants à vélo",2
"18","Cordonnerie",3
"19","Electroménager",1
"20","Fleuriste",2
"21","Imprimerie",1
"22","Institut de beauté",5
"23","Laverie automatique",4
"24","Librairie",1
"25","Mobilier Déco",11
"26","Opticien",7
"27","Pharmacie",13
"28","Photographie",2
"29","Point information et orientation",1
"30","Pressing",3
"31","Prêt-à-porter",8
"32","Primeur",1
"33","Réparation de téléphone",1
"34","Restaurant",24
"35","Restauration rapide",19
"36","Restauration rapide ",2
"37","Retoucherie",5
"38","Salle de sport",1
"39","Salon de thé",2
"40","Station-essence",2
"41","Supermarché",10
"42","Tabac",3
"43","Taxiphone",3
"44","Toilettage",1
