;Var1;Freq;categorie
1;Alimentation générale;24;alimentation
2;Animalerie;1;loisir
3;Audioprothésiste;1;medical
4;Auto-école;7;service
5;Automobile;7;service
6;Banque;9;service
7;Bar;8;loisir
8;Bar / Tabac;4;loisir
9;Bijouterie / Horlogerie;1;loisir
10;Boucherie;10;alimentation
11;Boucherie ;1;alimentation
12;Boulangerie;24;alimentation
13;Bricolage;2;loisir
14;Buraliste;1;service
15;Carte grise;1;service
16;Coiffure;28;service
17;Commerces ambulants à vélo;2;divers
18;Cordonnerie;3;service
19;Electroménager;1;loisir
20;Fleuriste;2;loisir
21;Imprimerie;1;service
22;Institut de beauté;5;loisir
23;Laverie automatique;4;service
24;Librairie;1;loisir
25;Mobilier Déco;11;loisir
26;Opticien;7;medical
27;Pharmacie;13;medical
28;Photographie;2;loisir
29;Point information et orientation;1;service
30;Pressing;3;service
31;Prêt-à-porter;8;loisir
32;Primeur;1;alimentation
33;Réparation de téléphone;1;service
34;Restaurant;24;loisir
35;Restauration rapide;19;loisir
36;Restauration rapide ;2;loisir
37;Retoucherie;5;service
38;Salle de sport;1;loisir
39;Salon de thé;2;loisir
40;Station-essence;2;service
41;Supermarché;10;alimentation
42;Tabac;3;service
43;Taxiphone;3;service
44;Toilettage;1;service
